"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"480",25,3000,10,3,3,2000,2,40,20,1
"481",25,3000,10,0,2,2000,2,40,20,0
"482",25,3000,10,0,2,2000,2,40,20,0
"483",25,3000,10,0,2,2000,2,40,20,0
"484",25,3000,10,0,0,2000,2,40,20,1
"485",25,3000,10,0,2,2000,2,40,20,0
"486",25,3000,10,1,2,2000,2,40,20,2
"487",25,3000,10,1,1,2000,2,40,20,1
"488",25,3000,10,1,1,2000,2,40,20,1
"489",25,3000,10,1,2,2000,2,40,20,2
"490",25,3000,10,1,2,2000,2,40,20,2
"491",25,3000,10,2,2,2000,2,40,20,1
"492",25,3000,10,2,2,2000,2,40,20,1
"493",25,3000,10,2,2,2000,2,40,20,1
"494",25,3000,10,2,2,2000,2,40,20,1
"495",25,3000,10,2,3,2000,2,40,20,0
"496",25,3000,10,3,3,2000,2,40,20,1
"497",25,3000,10,3,3,2000,2,40,20,1
"498",25,3000,10,3,3,2000,2,40,20,1
"499",25,3000,10,3,3,2000,2,40,20,1
"500",25,3000,10,3,2,2000,2,40,20,3
"501",25,3000,10,0,2,2000,2,40,20,0
"502",25,3000,10,0,2,2000,2,40,20,0
"503",25,3000,10,0,1,2000,2,40,20,0
"504",25,3000,10,0,0,2000,2,40,20,1
"505",25,3000,10,0,1,2000,2,40,20,0
"506",25,3000,10,1,1,2000,2,40,20,1
"507",25,3000,10,1,1,2000,2,40,20,1
"508",25,3000,10,1,1,2000,2,40,20,1
"509",25,3000,10,1,1,2000,2,40,20,1
"510",25,3000,10,1,1,2000,2,40,20,1
"511",25,3000,10,2,2,2000,2,40,20,1
"512",25,3000,10,2,3,2000,2,40,20,2
"513",25,3000,10,2,2,2000,2,40,20,1
"514",25,3000,10,2,2,2000,2,40,20,1
"515",25,3000,10,2,3,2000,2,40,20,2
"516",25,3000,10,3,3,2000,2,40,20,1
"517",25,3000,10,3,3,2000,2,40,20,1
"518",25,3000,10,3,3,2000,2,40,20,4
"519",25,3000,10,3,3,2000,2,40,20,1
"520",25,3000,10,3,3,2000,2,40,20,1
"521",25,3000,10,0,0,2000,2,40,20,1
"522",25,3000,10,0,0,2000,2,40,20,1
"523",25,3000,10,0,1,2000,2,40,20,0
"524",25,3000,10,0,0,2000,2,40,20,1
"525",25,3000,10,0,0,2000,2,40,20,1
"526",25,3000,10,1,2,2000,2,40,20,2
"527",25,3000,10,1,1,2000,2,40,20,1
"528",25,3000,10,1,1,2000,2,40,20,1
"529",25,3000,10,1,1,2000,2,40,20,1
"530",25,3000,10,1,1,2000,2,40,20,1
"531",25,3000,10,2,2,2000,2,40,20,1
"532",25,3000,10,2,2,2000,2,40,20,1
"533",25,3000,10,2,2,2000,2,40,20,1
"534",25,3000,10,2,3,2000,2,40,20,2
"535",25,3000,10,2,2,2000,2,40,20,1
"536",25,3000,10,3,3,2000,2,40,20,1
"537",25,3000,10,3,3,2000,2,40,20,1
"538",25,3000,10,3,3,2000,2,40,20,1
"539",25,3000,10,3,3,2000,2,40,20,1
"540",25,3000,10,3,3,2000,2,40,20,1
"541",25,3000,10,0,0,2000,2,40,20,1
"542",25,3000,10,0,1,2000,2,40,20,0
"543",25,3000,10,0,1,2000,2,40,20,0
"544",25,3000,10,0,0,2000,2,40,20,1
"545",25,3000,10,0,2,2000,2,40,20,0
"546",25,3000,10,1,1,2000,2,40,20,1
"547",25,3000,10,1,1,2000,2,40,20,1
"548",25,3000,10,1,1,2000,2,40,20,1
"549",25,3000,10,1,1,2000,2,40,20,1
"550",25,3000,10,1,1,2000,2,40,20,1
