"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"2048",25,3000,90,1,2,2000,2,40,20,0
"2049",25,3000,90,1,2,2000,2,40,20,0
"2050",25,3000,90,1,1,2000,2,40,20,0
"2051",25,3000,90,2,2,2000,2,40,20,0
"2052",25,3000,90,2,0,2000,2,40,20,0
"2053",25,3000,90,2,2,2000,2,40,20,0
"2054",25,3000,90,2,2,2000,2,40,20,1
"2055",25,3000,90,2,3,2000,2,40,20,0
"2056",25,3000,90,3,2,2000,2,40,20,0
"2057",25,3000,90,3,4,2000,2,40,20,2
"2058",25,3000,90,3,2,2000,2,40,20,1
"2059",25,3000,90,3,1,2000,2,40,20,1
"2060",25,3000,90,3,1,2000,2,40,20,1
"2061",25,3000,90,0,2,2000,2,40,20,0
"2062",25,3000,90,0,0,2000,2,40,20,1
"2063",25,3000,90,0,2,2000,2,40,20,0
"2064",25,3000,90,0,2,2000,2,40,20,0
"2065",25,3000,90,0,0,2000,2,40,20,1
"2066",25,3000,90,1,2,2000,2,40,20,0
"2067",25,3000,90,1,2,2000,2,40,20,2
"2068",25,3000,90,1,2,2000,2,40,20,0
"2069",25,3000,90,1,1,2000,2,40,20,0
"2070",25,3000,90,1,2,2000,2,40,20,0
"2071",25,3000,90,2,3,2000,2,40,20,2
"2072",25,3000,90,2,3,2000,2,40,20,2
"2073",25,3000,90,2,2,2000,2,40,20,0
"2074",25,3000,90,2,0,2000,2,40,20,0
"2075",25,3000,90,2,1,2000,2,40,20,0
"2076",25,3000,90,3,4,2000,2,40,20,0
"2077",25,3000,90,3,1,2000,2,40,20,1
"2078",25,3000,90,3,2,2000,2,40,20,3
"2079",25,3000,90,3,4,2000,2,40,20,2
"2080",25,3000,90,3,3,2000,2,40,20,4
"2081",25,3000,90,0,2,2000,2,40,20,0
"2082",25,3000,90,0,1,2000,2,40,20,0
"2083",25,3000,90,0,2,2000,2,40,20,0
"2084",25,3000,90,0,2,2000,2,40,20,0
"2085",25,3000,90,0,2,2000,2,40,20,0
"2086",25,3000,90,1,3,2000,2,40,20,0
"2087",25,3000,90,1,2,2000,2,40,20,0
"2088",25,3000,90,1,3,2000,2,40,20,2
"2089",25,3000,90,1,2,2000,2,40,20,0
"2090",25,3000,90,1,2,2000,2,40,20,0
"2091",25,3000,90,2,4,2000,2,40,20,0
"2092",25,3000,90,2,2,2000,2,40,20,4
"2093",25,3000,90,2,2,2000,2,40,20,4
"2094",25,3000,90,2,3,2000,2,40,20,0
"2095",25,3000,90,2,1,2000,2,40,20,0
"2096",25,3000,90,3,2,2000,2,40,20,0
"2097",25,3000,90,3,3,2000,2,40,20,4
"2098",25,3000,90,3,4,2000,2,40,20,2
"2099",25,3000,90,3,2,2000,2,40,20,0
"2100",25,3000,90,3,2,2000,2,40,20,3
"2101",25,3000,90,0,2,2000,2,40,20,0
"2102",25,3000,90,0,2,2000,2,40,20,0
"2103",25,3000,90,0,3,2000,2,40,20,0
"2104",25,3000,90,0,2,2000,2,40,20,0
"2105",25,3000,90,0,1,2000,2,40,20,0
"2106",25,3000,90,1,1,2000,2,40,20,0
"2107",25,3000,90,1,2,2000,2,40,20,0
"2108",25,3000,90,1,1,2000,2,40,20,0
"2109",25,3000,90,1,3,2000,2,40,20,0
"2110",25,3000,90,1,1,2000,2,40,20,1
"2111",25,3000,90,2,2,2000,2,40,20,4
"2112",25,3000,90,2,3,2000,2,40,20,2
"2113",25,3000,90,2,2,2000,2,40,20,0
"2114",25,3000,90,2,3,2000,2,40,20,2
"2115",25,3000,90,2,2,2000,2,40,20,4
"2116",25,3000,90,3,2,2000,2,40,20,3
"2117",25,3000,90,3,3,2000,2,40,20,4
"2118",25,3000,90,3,3,2000,2,40,20,0
